15:27:28. INFO  manager.ApplicationManager - All tests starts in 'Chrome' browser
15:27:31. INFO  tests.TestBase - Test name ----->addNewCarPositive
15:27:31. INFO  manager.MyListener - Start search element by locator --->By.xpath: //a[contains(.,'Delete account')]
15:27:41. INFO  manager.MyListener - The element with locator --->By.xpath: //a[contains(.,'Delete account')]was found
15:27:41. INFO  manager.MyListener - Start search element by locator --->By.xpath: //a[@href='/login?url=%2Fsearch']
15:27:41. INFO  manager.MyListener - The element with locator --->By.xpath: //a[@href='/login?url=%2Fsearch']was found
15:27:41. INFO  manager.MyListener - Start search element by locator --->By.id: email
15:27:41. INFO  manager.MyListener - The element with locator --->By.id: emailwas found
15:27:41. INFO  manager.MyListener - Start search element by locator --->By.id: password
15:27:41. INFO  manager.MyListener - The element with locator --->By.id: passwordwas found
15:27:41. INFO  manager.MyListener - Start search element by locator --->By.xpath: //button[@type='submit']
15:27:41. INFO  manager.MyListener - The element with locator --->By.xpath: //button[@type='submit']was found
15:27:41. INFO  manager.MyListener - Start search element by locator --->By.xpath: //button[@type='submit']
15:27:41. INFO  manager.MyListener - The element with locator --->By.xpath: //button[@type='submit']was found
15:27:41. INFO  manager.MyListener - Start search element by locator --->By.xpath: //button[text() ='Ok']
15:27:42. INFO  manager.MyListener - The element with locator --->By.xpath: //button[text() ='Ok']was found
15:27:42. INFO  manager.MyListener - Start search element by locator --->By.xpath: //button[text() ='Ok']
15:27:42. INFO  manager.MyListener - The element with locator --->By.xpath: //button[text() ='Ok']was found
15:27:48. INFO  tests.TestBase - Car was addedmodels.Car@74318fba
15:27:48. INFO  manager.MyListener - Start search element by locator --->By.id: 1
15:27:48. INFO  manager.MyListener - The element with locator --->By.id: 1was found
15:27:48. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: h2
15:27:48. INFO  manager.MyListener - The element with locator --->By.cssSelector: h2was found
15:27:48. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: h2
15:27:48. INFO  manager.MyListener - The element with locator --->By.cssSelector: h2was found
15:27:48. INFO  manager.MyListener - Start search element by locator --->By.id: pickUpPlace
15:27:48. INFO  manager.MyListener - The element with locator --->By.id: pickUpPlacewas found
15:27:48. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: div.pac-item
15:27:49. INFO  manager.MyListener - The element with locator --->By.cssSelector: div.pac-itemwas found
15:27:49. INFO  manager.MyListener - Start search element by locator --->By.id: make
15:27:49. INFO  manager.MyListener - The element with locator --->By.id: makewas found
15:27:49. INFO  manager.MyListener - Start search element by locator --->By.id: model
15:27:49. INFO  manager.MyListener - The element with locator --->By.id: modelwas found
15:27:49. INFO  manager.MyListener - Start search element by locator --->By.id: year
15:27:49. INFO  manager.MyListener - The element with locator --->By.id: yearwas found
15:27:50. INFO  manager.MyListener - Start search element by locator --->By.id: engine
15:27:50. INFO  manager.MyListener - The element with locator --->By.id: enginewas found
15:27:50. INFO  manager.MyListener - Start search element by locator --->By.id: fuel
15:27:50. INFO  manager.MyListener - The element with locator --->By.id: fuelwas found
15:27:50. INFO  manager.MyListener - Start search element by locator --->By.xpath: .//option[@value = "Petrol"]
15:27:50. INFO  manager.MyListener - The element with locator --->By.xpath: .//option[@value = "Petrol"]was found
15:27:50. INFO  manager.MyListener - Start search element by locator --->By.id: gear
15:27:50. INFO  manager.MyListener - The element with locator --->By.id: gearwas found
15:27:50. INFO  manager.MyListener - Start search element by locator --->By.xpath: .//option[@value = "AT"]
15:27:50. INFO  manager.MyListener - The element with locator --->By.xpath: .//option[@value = "AT"]was found
15:27:50. INFO  manager.MyListener - Start search element by locator --->By.id: wheelsDrive
15:27:50. INFO  manager.MyListener - The element with locator --->By.id: wheelsDrivewas found
15:27:50. INFO  manager.MyListener - Start search element by locator --->By.xpath: .//option[@value = "RWD"]
15:27:50. INFO  manager.MyListener - The element with locator --->By.xpath: .//option[@value = "RWD"]was found
15:27:50. INFO  manager.MyListener - Start search element by locator --->By.id: doors
15:27:50. INFO  manager.MyListener - The element with locator --->By.id: doorswas found
15:27:50. INFO  manager.MyListener - Start search element by locator --->By.id: seats
15:27:50. INFO  manager.MyListener - The element with locator --->By.id: seatswas found
15:27:50. INFO  manager.MyListener - Start search element by locator --->By.id: class
15:27:50. INFO  manager.MyListener - The element with locator --->By.id: classwas found
15:27:50. INFO  manager.MyListener - Start search element by locator --->By.id: fuelConsumption
15:27:50. INFO  manager.MyListener - The element with locator --->By.id: fuelConsumptionwas found
15:27:51. INFO  manager.MyListener - Start search element by locator --->By.id: serialNumber
15:27:51. INFO  manager.MyListener - The element with locator --->By.id: serialNumberwas found
15:27:51. INFO  manager.MyListener - Start search element by locator --->By.id: price
15:27:51. INFO  manager.MyListener - The element with locator --->By.id: pricewas found
15:27:51. INFO  manager.MyListener - Start search element by locator --->By.id: distance
15:27:51. INFO  manager.MyListener - The element with locator --->By.id: distancewas found
15:27:51. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: .feature-input
15:27:51. INFO  manager.MyListener - The element with locator --->By.cssSelector: .feature-inputwas found
15:27:51. INFO  manager.MyListener - Start search element by locator --->By.id: about
15:27:51. INFO  manager.MyListener - The element with locator --->By.id: aboutwas found
15:27:51. INFO  manager.MyListener - Start search element by locator --->By.id: photos
15:27:51. INFO  manager.MyListener - The element with locator --->By.id: photoswas found
15:27:51. INFO  manager.MyListener - Start search element by locator --->By.xpath: //button[@type='submit']
15:27:51. INFO  manager.MyListener - The element with locator --->By.xpath: //button[@type='submit']was found
15:27:52. INFO  manager.MyListener - Start search element by locator --->By.xpath: //button[@type='submit']
15:27:52. INFO  manager.MyListener - The element with locator --->By.xpath: //button[@type='submit']was found
15:27:52. INFO  manager.MyListener - Start search element by locator --->By.xpath: //button[@type='submit']
15:27:52. INFO  manager.MyListener - The element with locator --->By.xpath: //button[@type='submit']was found
15:27:53. INFO  manager.MyListener - Start search element by locator --->By.xpath: //button[@type='submit']
15:27:53. INFO  manager.MyListener - The element with locator --->By.xpath: //button[@type='submit']was found
15:27:53. INFO  manager.MyListener - Start search element by locator --->By.xpath: //button[@type='submit']
15:27:53. INFO  manager.MyListener - The element with locator --->By.xpath: //button[@type='submit']was found
15:27:53. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: .dialog-container
15:27:54. INFO  manager.MyListener - The element with locator --->By.cssSelector: .dialog-containerwas found
15:27:54. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: .dialog-container h1
15:27:54. INFO  manager.MyListener - The element with locator --->By.cssSelector: .dialog-container h1was found
15:27:54. INFO  manager.MyListener - Start search element by locator --->By.xpath: //button[text()='Search cars']
15:27:54. INFO  manager.MyListener - The element with locator --->By.xpath: //button[text()='Search cars']was found
15:27:54. INFO  tests.TestBase - Test endaddNewCarPositive
