21:44:11. INFO  manager.ApplicationManager - All tests starts in 'Chrome' browser
21:44:12. INFO  tests.TestBase - Test name ----->addNewCarPositive
21:44:12. INFO  manager.MyListener - Start search element by locator --->By.xpath: //a[contains(.,'Delete account')]
21:44:22. INFO  manager.MyListener - The element with locator --->By.xpath: //a[contains(.,'Delete account')]was found
21:44:22. INFO  manager.MyListener - Start search element by locator --->By.xpath: //a[@href='/login?url=%2Fsearch']
21:44:22. INFO  manager.MyListener - The element with locator --->By.xpath: //a[@href='/login?url=%2Fsearch']was found
21:44:22. INFO  manager.MyListener - Start search element by locator --->By.id: email
21:44:22. INFO  manager.MyListener - The element with locator --->By.id: emailwas found
21:44:23. INFO  manager.MyListener - Start search element by locator --->By.id: password
21:44:23. INFO  manager.MyListener - The element with locator --->By.id: passwordwas found
21:44:23. INFO  manager.MyListener - Start search element by locator --->By.xpath: //button[@type='submit']
21:44:23. INFO  manager.MyListener - The element with locator --->By.xpath: //button[@type='submit']was found
21:44:23. INFO  manager.MyListener - Start search element by locator --->By.xpath: //button[@type='submit']
21:44:23. INFO  manager.MyListener - The element with locator --->By.xpath: //button[@type='submit']was found
21:44:23. INFO  manager.MyListener - Start search element by locator --->By.xpath: //button[text() ='Ok']
21:44:24. INFO  manager.MyListener - The element with locator --->By.xpath: //button[text() ='Ok']was found
21:44:24. INFO  manager.MyListener - Start search element by locator --->By.xpath: //button[text() ='Ok']
21:44:24. INFO  manager.MyListener - The element with locator --->By.xpath: //button[text() ='Ok']was found
21:44:30. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: .cars-container
21:44:30. INFO  manager.MyListener - The element with locator --->By.cssSelector: .cars-containerwas found
21:44:30. INFO  tests.TestBase - The test 'Add new contact starts with count of contact---->1
21:44:30. INFO  tests.TestBase - Car was addedmodels.Car@3888bcb3
21:44:30. INFO  manager.MyListener - Start search element by locator --->By.id: 1
21:44:30. INFO  manager.MyListener - The element with locator --->By.id: 1was found
21:44:30. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: h2
21:44:30. INFO  manager.MyListener - The element with locator --->By.cssSelector: h2was found
21:44:30. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: h2
21:44:30. INFO  manager.MyListener - The element with locator --->By.cssSelector: h2was found
21:44:30. INFO  manager.MyListener - Start search element by locator --->By.id: pickUpPlace
21:44:30. INFO  manager.MyListener - The element with locator --->By.id: pickUpPlacewas found
21:44:30. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: div.pac-item
21:44:30. INFO  manager.MyListener - The element with locator --->By.cssSelector: div.pac-itemwas found
21:44:31. INFO  manager.MyListener - Start search element by locator --->By.id: make
21:44:31. INFO  manager.MyListener - The element with locator --->By.id: makewas found
21:44:31. INFO  manager.MyListener - Start search element by locator --->By.id: model
21:44:31. INFO  manager.MyListener - The element with locator --->By.id: modelwas found
21:44:31. INFO  manager.MyListener - Start search element by locator --->By.id: year
21:44:31. INFO  manager.MyListener - The element with locator --->By.id: yearwas found
21:44:31. INFO  manager.MyListener - Start search element by locator --->By.id: engine
21:44:31. INFO  manager.MyListener - The element with locator --->By.id: enginewas found
21:44:32. INFO  manager.MyListener - Start search element by locator --->By.id: fuel
21:44:32. INFO  manager.MyListener - The element with locator --->By.id: fuelwas found
